Model,MAE,RMSE,R2 Score
Linear Regression,0.29268037791613316,0.396111543805892,0.7432465955854971
Random Forest,0.21074568183850198,0.3128202220508917,0.8398706825590417
Gradient Boosting,0.2510696507487883,0.34808684908970894,0.8017302568673628
